snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate
1302346,98,4.276361962614457,2.0011922643109292,46.049583082941204,3.9268413720004816,56895.47079084103,0.1,1.5,203.12719322418673,True,True,True,True,True
1645305,93,3.154340814607762,9.66582547038191,46.34532379411031,2.87152773494919,57583.313,0.1,1.5,141.9453366573493,True,True,False,True,False
1291919,106,4.486209335265342,5.432005636562599,45.31326192586602,4.264328168692494,56640.053,0.1,1.5,231.0397807661651,True,True,True,True,True
1643256,104,3.6752712850291456,2.842423258554841,47.34140397478614,4.246781912405119,57684.06641831336,0.1,1.5,185.60119989397185,True,True,True,True,True
1279476,68,13.414319033998265,4.856824651514722,51.95201805780208,6.726418180101533,57228.257,0.1,1.5,435.9653686049436,True,False,True,True,False
1778075,110,4.127266775792931,2.9818071186998685,42.26626874436399,1.210051240513824,57936.386,0.1,1.5,220.80877250492182,True,True,True,True,True
1294207,72,11.811958190286278,6.581296857103218,50.05391093903407,6.229636191973086,56840.328,0.1,1.5,407.5125575648766,True,False,True,True,False
1254058,25,3.7118558627991463,2.382900650326206,45.61430096908867,3.7995375822693305,56526.32955334261,0.1,1.5,40.83041449079061,True,True,True,True,True
1337447,107,6.155478134438202,0.9979126582828715,40.68431064749888,0.22042594668262794,57623.081959486306,0.1,1.5,320.0848629907865,True,True,True,True,True
1319965,101,4.201033567753401,5.535956864217765,43.604590950492785,2.5643519984728513,56925.37606997452,0.1,1.5,205.85064481991665,True,True,True,True,True
1300931,100,12.977148899604137,2.7955147443620536,43.052590884418166,2.4066563670326104,56929.13732834084,0.1,1.5,629.3917216308006,True,False,True,True,False
1329365,88,5.544148149205049,2.2960645737513414,46.156835110058736,3.742655037057375,57256.214064626234,0.1,1.5,235.62629634121458,True,True,True,True,True
