source,snid,ra,dec,z_helio,band,mjd,mag,mag_err,flux_nu_jy,flux_nu_jy_err,zp,zpsys,wavelength_eff_nm
osc,SN2011fe,,,,k,55860.071354,12.370225692,,0.04092003270182788,,,AB,550.0
osc,SN2011fe,,,,v,55860.0716,12.225,0.03,0.04677634122197764,0.0012924780720303432,,AB,545.0
osc,SN2011fe,,,,v,55860.0734,12.197,0.029,0.04799834344246902,0.0012820351331488374,,AB,545.0
osc,SN2011fe,,,,j,55860.074097,13.08258451,,0.02123207525870467,,,AB,550.0
osc,SN2011fe,,,,b,55860.76,13.26,0.03,0.018031267191861693,0.0004982223245252802,,AB,438.0
osc,SN2011fe,,,,i,55860.76,11.77,0.04,0.07112565009500246,0.0026203657862122116,,AB,763.0
osc,SN2011fe,,,,r,55860.76,12.0,0.02,0.05754747181826293,0.0010600636059858177,,AB,623.0
osc,SN2011fe,,,,u,55860.76,13.25,0.05,0.018198108453006227,0.0008380538648916216,,AB,355.1
osc,SN2011fe,,,,v,55860.76,12.28,0.02,0.044465814195313924,0.0008190905673117831,,AB,545.0
osc,SN2011fe,,,,uvw1,55861.1305,15.203,0.061,0.0030118008318908997,0.00016921223584532888,,AB,550.0
osc,SN2011fe,,,,u,55861.1324,13.692,0.033,0.012112289678798944,0.0003681424250648508,,AB,355.1
osc,SN2011fe,,,,b,55861.1334,13.35,0.03,0.016596872164916118,0.0004585885252471641,,AB,438.0
osc,SN2011fe,,,,uvw2,55861.1362,16.474,0.085,0.0009341707156404137,7.31342571809367e-05,,AB,550.0
osc,SN2011fe,,,,v,55861.139,12.301,0.029,0.043614033107313405,0.0011649302607476843,,AB,545.0
osc,SN2011fe,,,,uvm2,55861.143,16.78,0.084,0.0007047356621539367,5.4523184693945284e-05,,AB,550.0
osc,SN2011fe,,,,u,55861.5986,13.614,0.037,0.013014462876067253,0.0004435102415340017,,AB,355.1
osc,SN2011fe,,,,u,55861.5994,13.609,0.032,0.013074534907289158,0.00038534693344453516,,AB,355.1
osc,SN2011fe,,,,b,55861.6006,13.145,0.03,0.0200459318202843,0.0005538895654147395,,AB,438.0
osc,SN2011fe,,,,b,55861.6014,13.206,0.03,0.018950743302485126,0.0005236283883535081,,AB,438.0
osc,SN2011fe,,,,v,55861.6025,12.244,0.03,0.045964892517091814,0.00127005691573115,,AB,545.0
osc,SN2011fe,,,,v,55861.6035,12.224,0.029,0.04681944367074284,0.0012505467354789123,,AB,545.0
osc,SN2011fe,,,,b,55862.18,13.23,0.06,0.01853643654910697,0.001024361339404889,,AB,438.0
osc,SN2011fe,,,,i,55862.18,11.82,0.04,0.06792446851668212,0.00250242989849689,,AB,763.0
