A,Z,N,element,binding_energy,sigma
77,38,39,Sr,649.5657476,0.609686
78,29,49,Cu,651.664221,1.039896
78,30,48,Zn,663.5756399999999,0.151632
78,31,47,Ga,669.0141354,0.08197799999999221
78,32,46,Ge,676.3897608000001,0.275808
78,33,45,As,676.562328,0.7627619999999999
78,34,44,Se,679.9889615999999,0.013961999999999999
78,35,43,Br,675.6328331999999,0.27924
78,36,42,Kr,675.576603,0.023946
78,37,41,Rb,667.5513935999999,0.252486
78,38,40,Sr,663.0075738000002,0.581256
79,29,50,Cu,657.354102,8.293341
79,30,49,Zn,667.5960175000001,0.175775
79,31,48,Ga,675.9297275,0.09543199999999209
79,32,47,Ge,682.1262031,2.9357189999999997
79,33,46,As,685.4527588000001,0.42067499999999997
79,34,45,Se,686.9517917,0.017617
79,35,44,Br,686.3200524,0.079079
79,36,43,Kr,683.9119269999999,0.27492
79,37,42,Rb,679.4900679,0.153497
79,38,41,Sr,673.3846082,0.586259
79,39,40,Y,664.9255251999999,6.328532
80,30,50,Zn,673.883656,0.2068
80,31,49,Ga,680.6763599999999,0.23127999999999999
80,32,48,Ge,690.205656,0.16432
80,33,47,As,692.102592,0.26664
80,34,46,Se,696.8651360000001,0.075759999999992
80,35,45,Br,694.212328,0.07944
80,36,44,Kr,695.434408,0.0556
80,37,43,Rb,688.93408,0.14904
80,38,42,Sr,686.287728,0.27712000000000003
80,39,41,Y,676.342072,0.49936
81,30,51,Zn,676.5060222,0.40742999999999996
81,31,50,Ga,687.1519655999999,0.264384
81,32,49,Ge,695.0333547,0.166455
81,33,48,As,700.4926251,0.214164
81,34,47,Se,703.5659837999999,0.079137
