redshift,distance_modulus,sigma_mu
0.44153,41.7906,0.128
0.67651,42.8358,0.166
0.34478,41.2478,0.1043
0.61101,42.9089,0.1598
0.4036,41.7302,0.1618
0.48607,42.1157,0.2411
0.52558,42.4418,0.1518
0.10563,38.5616,0.0899
0.57914,42.6875,0.2197
0.76302,43.3391,0.1893
0.7765,43.2924,0.1195
0.33633,41.1245,0.2335
0.36444,41.568,0.1328
0.68131,43.263,0.2002
0.63391,42.6684,0.1477
0.27051,40.9139,0.1117
0.36705,41.5061,0.1213
0.56429,42.685,0.1452
0.45085,42.0406,0.1775
0.71827,43.2738,0.1279
0.22156,40.3027,0.1143
0.39189,41.9518,0.2637
0.54993,42.6496,0.2061
0.40572,41.7798,0.2143
0.72076,43.2467,0.1623
0.36025,42.053,0.2859
0.65395,43.1958,0.1424
0.58627,42.6562,0.2141
0.35667,41.3565,0.131
0.61883,42.9017,0.2306
0.78398,43.2135,0.1885
0.61496,42.8169,0.2359
0.55939,43.4841,186.9078
0.71961,43.2735,0.211
0.61156,43.0032,0.2197
0.51197,42.5244,0.1969
0.51856,42.5609,0.1788
0.6232,42.6145,0.1543
0.48766,42.3708,0.2046
0.79167,43.3341,0.1219
0.69371,43.26,0.1637
0.42224,42.1369,0.2072
0.34305,41.3691,0.2512
0.67984,43.1699,0.1814
0.3418,41.1574,0.1493
0.43774,41.9706,0.2114
0.69396,42.8784,0.1459
0.3646,41.217,0.1647
0.69209,43.0532,0.21
0.68179,43.2265,0.1781
0.58893,42.5725,0.2897
0.65927,42.8884,0.1391
0.13349,39.0086,0.1736
0.26629,40.5791,0.1094
0.62076,42.9472,0.2024
0.68005,42.7998,0.1314
0.58586,42.7204,0.2177
0.45463,41.8887,0.1604
0.80326,43.2824,0.132
0.35791,41.4181,0.1638
0.51686,42.2231,0.2068
0.82736,43.3761,0.2158
0.28895,40.7372,0.1142
0.43941,42.7893,293.0621
0.19624,39.9442,0.1794
0.28805,40.786,0.1195
0.24701,40.2772,0.1033
0.74333,43.432,0.1337
0.30259,41.9873,8.3962
0.65904,42.9342,0.152
0.64922,42.8551,0.1435
0.52809,42.5313,0.3196
0.62737,43.0162,0.2715
0.72701,43.4734,0.2035
0.33403,41.5222,0.161
0.19991,39.7993,0.1876
0.60582,42.6028,0.1527
0.42692,41.911,0.1221
0.50597,42.2442,0.1076
0.60619,42.8117,0.1534
0.60557,42.8824,0.2117
0.52427,42.2846,0.1061
0.60735,42.6746,0.1477
0.30477,41.1223,0.1694
0.44933,42.337,0.2082
0.62253,42.7287,0.2064
0.57869,42.5779,0.1844
0.39932,41.7329,0.2279
0.39496,40.9359,0.2146
0.43764,41.6118,0.1456
0.34175,41.2635,0.2309
0.3481,41.7049,0.2434
0.56493,42.8987,0.2598
0.42821,42.2771,0.2663
0.58306,42.7375,0.1859
0.18492,39.8687,0.1015
0.29256,41.8729,17.3012
0.38732,41.6577,0.1878
0.25604,40.6715,0.1393
0.4676,42.0296,0.1851
0.67747,42.9301,0.7368
0.18156,39.7297,0.1655
0.2338,40.2147,0.1908
0.64795,42.7682,0.1164
0.64997,42.8132,0.18
1.02582,44.0472,0.2354
0.60013,42.7065,0.194
0.82961,43.4247,0.1574
0.11048,38.1464,0.1338
0.57741,42.802,0.2217
0.45318,41.959,0.2626
0.50275,42.3316,0.168
