snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_alpha,chi2_per_obs
1434221,0.783668,22.5296,22.2479,43.3630,43.4475,-21.1151,-21.1996,19.447714,2.10
1435068,0.481057,23.7949,19.8145,43.6194,42.1607,-23.8049,-22.3462,21.925078,1.12
1934033,0.741602,21.9304,22.7787,43.4313,43.3004,-20.6526,-20.5217,19.021712,1.79
1334686,0.659045,21.8833,22.5735,43.5391,42.9870,-20.9655,-20.4134,19.309959,0.91
1262727,0.384778,21.7085,21.5948,43.5380,41.5852,-21.9432,-19.9904,20.210440,0.92
1432078,0.544715,21.2403,22.8579,43.6190,42.4850,-20.7611,-19.6271,19.121706,1.07
1297288,0.436153,20.2422,23.4590,43.5954,41.9070,-20.1365,-18.4480,18.546357,0.79
1849244,0.576966,25.7795,18.0545,43.6058,42.6359,-25.5513,-24.5814,23.533648,1.69
1284929,1.273545,26.6576,18.8204,42.0931,44.7498,-23.2727,-25.9295,21.434966,2.18
1248546,0.123600,17.7200,23.4594,42.1599,38.8091,-18.7006,-15.3497,17.223882,0.74
